,symbol,sector,previousClose,sharesOutstanding,market_cap,socialScore,governanceScore,totalEsg,environmentScore
0,ADANIPORTS.ns,Industrials,735.55,2041750016,1501809224268.7998,3.68,6.5,13.71,3.54
1,ASIANPAINT.ns,Basic Materials,3230.25,959198016,3098449391184.0,9.42,9.28,30.39,11.69
2,AXISBANK.ns,Financial Services,712.35,3065029888,2183374040716.8,13.77,13.25,29.15,2.13
3,BAJAJ-AUTO.ns,Consumer Cyclical,3583.8,289367008,1037033483270.4,3.96,7.47,15.24,3.81
4,BAJFINANCE.ns,Financial Services,7607.65,603593984,4591931772377.6,,,,
5,BAJAJF.nsV.ns,Financial Services,18255.4,159136992,2905109443756.8003,,,,
6,BPCL.ns,Energy,413.8,2169250048,897635669862.4,8.7,7.17,36.35,20.48
7,BHARTIARTL.ns,Communication Services,720.05,5488659968,3952109609958.4,13.56,8.89,26.51,4.06
8,BRITANNIA.ns,Consumer Defensive,3615.05,240868000,870749863400.0,,,,
9,CIPLA.ns,Healthcare,905.35,806787008,730424617692.8,22.25,13.11,37.46,2.1
10,COALINDIA.ns,Energy,156.1,6162729984,962002150502.4,12.06,7.1,35.99,16.84
11,DIVISLAB.ns,Healthcare,4763.85,265468992,1264654457539.2002,,,,
12,DRREDDY.ns,Healthcare,4768.3,165768992,790436284553.6,20.82,13.78,36.6,2.01
13,EICHERMOT.ns,Consumer Cyclical,2674.2,273411008,731155717593.6,5.48,6.88,16.17,3.82
14,GRASIM.ns,Basic Materials,1792.65,658078016,1179703555382.4001,11.21,12.77,42.47,18.49
15,HCLTECH.ns,Technology,1152.45,2713669888,3127368862425.6,9.2,6.13,16.46,1.13
16,HDFCBANK.ns,Financial Services,1530.8,5540420096,8481275082956.8,12.9,12.96,28.24,2.38
17,HDFCLIFE.ns,Financial Services,711.05,2024400000,1439449620000.0,,,,
18,HEROMOTOCO.ns,Consumer Cyclical,2749.35,199790000,549292636500.0,3.39,6.73,12.42,2.3
19,HINDALCO.ns,Basic Materials,445.4,2230579968,993500317747.2,10.36,10.42,34.16,13.37
20,HINDUNILVR.ns,Consumer Defensive,2391.15,2349590016,5618222166758.4,8.7,6.62,25.98,10.67
21,HDFC.ns,Financial Services,2948.4,1803949952,5318766038476.8,7.29,9.45,18.99,2.25
22,ICICIBANK.ns,Financial Services,761.3,6918450176,5267016118988.8,17.94,15.64,35.94,2.35
23,ITC.ns,Consumer Defensive,239.5,12308799488,2947957477376.0,12.28,8.01,27.43,7.15
24,IOC.ns,Energy,128.45,9414160384,1209248901324.7998,9.53,7.18,34.8,18.1
25,INDUSINDBK.ns,Financial Services,1034,774161024,800482498816,,,,
26,INFY.ns,Technology,1787.45,4261270016,7616807090099.2,7.69,6.52,15.28,1.07
27,JSWSTEEL.ns,Basic Materials,662.35,2417220096,1601045730585.6,11.46,10.7,36.68,14.52
28,KOTAKBANK.ns,Financial Services,2053.1,1983260032,4071831171699.1997,12.94,11.43,26.61,2.24
29,LT.ns,Industrials,1952.9,1404839936,2743511911014.4,13.86,15.91,34.37,4.6
30,M&M.ns,Consumer Cyclical,954.45,1243190016,1186562710771.2,13.57,6.24,27.94,8.13
31,MARUTI.ns,Consumer Cyclical,8274.75,302080000,2499636480000.0,10.95,9.3,26.89,6.63
32,NTPC.ns,Utilities,136.45,9696669696,1323110580019.2,14.67,8.55,40.98,17.75
33,NESTLEIND.ns,Consumer Defensive,19477.05,96415696,1877893331776.8,10.28,5.77,27.02,10.97
34,ONGC.ns,Energy,157.4,12580299776,1980139184742.4001,17.45,13.38,53.39,22.56
35,POWERGRID.ns,Utilities,191.05,5231589888,999495248102.4,,,,
36,RELIANCE.ns,Energy,2464,6762070016,16661740519424,10.1,6.27,36.92,20.55
37,SBILIFE.ns,Financial Services,1187.2,1000110016,1187330610995.2,,,,
38,SHREECEM.ns,Basic Materials,27691.05,36080700,999112467735.0,4.19,9.13,28.32,15
39,SBIN.ns,Financial Services,498.15,8924609536,4445794240358.399,13.09,14.54,29.96,2.33
40,SUNPHARMA.ns,Healthcare,791.35,2399330048,1898709833484.8,19.69,14.06,36.77,3.02
41,TCS.ns,Technology,3521.9,3699049984,13027684138649.6,6.58,6.76,14.12,0.79
42,TATAC.nsUM.ns,Consumer Defensive,836.4,921552000,770786092800.0,,,,
43,TATAMOTORS.ns,Consumer Cyclical,530.15,3320310016,1760262354982.4,14.01,7.46,30.05,8.57
44,TATASTEEL.ns,Basic Materials,1220.05,1125309952,1372934406937.5999,14.18,8.84,39.34,16.32
45,TECHM.ns,Technology,1618.45,970139008,1570121477497.6,6.81,5.84,13.12,0.47
46,TITAN.ns,Consumer Cyclical,2499.35,887785984,2218887899110.4,7.14,6.26,15.04,1.64
47,UPL.ns,Basic Materials,755.6,764044992,577312395955.2001,8.8,6.78,26.68,11.11
48,ULTRACEMCO.ns,Basic Materials,7857.7,288446016,2266522259923.1997,5.04,10.6,34.1,18.46
49,WIPRO.ns,Technology,661.8,5463410176,3615684854476.8,6.86,5.48,13.28,0.95
