,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,maxAge,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,toCurrency
1,,,,,,,,942,none,24251800000,,1381,2079.2,,,,25,1305.44,,,1700,,,,,INR,1,,,,BSE,ABB INDIA LIMITED,ABB India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ABB.BO,,,,5d36e103-e339-379b-b5e9-099da8cab0c7,in_market,2113.25,2099,1065.5963,0.002271383,,,2130,,13503,,2113.25,1349.7955,4.8,2099,13503,,,,,,,,,2067.75,2,INR,320.2711,9454,,,,440599117824,,,17821,,2067.75,2082.35,,0,9454,2130,65.85999,,,722.45,2068,False,,0,2130,2079.2,,
1,,,,,,,,254,none,7026509000,,276,247.4,,,,3,271.67,,,285,,,,,INR,1,,,,BSE,AEGIS LOGISTICS LTD.,Aegis Logistics Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,AEGISLOG.BO,,,,,in_market,234.95,237.9,238.37445,0.0072355825,,,249.3,,9865,,234.95,281.95142,1.7,237.9,9865,,,,,,,,,234.1,2,INR,121.215096,195662,,,,85435383808,,,25475,,234.1,247.5,,0,195662,320,28.634258,,,108.1,246.55,False,,0,249.3,247.4,,
1,,,,,,,,667,none,23770600000,,867,632.55,,,,17,863.35,,,1065,,,,,INR,1,,,,BSE,AMARA RAJA BATTERIES LTD.,Amara Raja Batteries Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,AMARAJABAT.BO,,,,,in_market,626.9,633,843.7745,0.017546657,,,639.95,,111242,,626.9,962.2057,11,633,111242,,,,,,,,,630.3,2,INR,18.545502,102172,,,,108047130624,,,55163,,630.3,632.2,,0,102172,1025,16.859009,,,350.25,632.2,False,,0,639.95,632.55,,
1,,,,,,,,,none,531661000,,,28.25,,,,,,,,,,,,,INR,1,,,,BSE,AMBALAL SARABHAI ENTERPRISES L,Ambalal Sarabhai Enterprises Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,AMBALALSA.BO,,,,,in_market,28.2,28.5,20.99781,,,,28.75,,66653,,28.2,21.652857,,28.5,66653,,,,,,,,,28.1,2,INR,15.212708,100742,,,,2164890624,,,68279,,28.1,28.45,,0,100742,30.95,,,,12.5,28.25,False,,0,28.75,28.25,,
1,,,,,,,,1629,none,636626500000,,2103,2771,,,,34,2088.12,,,2360,,,,,INR,1,,,,BSE,HOUSING DEVELOPMENT FINANCE CO,Housing Development Finance Corporation Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,HDFC.BO,,,,,in_market,2809.15,2798.7,2199.7544,0.0074755712,,,2823,,100711,,2809.15,2670.8342,21,2798.7,100711,,,,,,,,,2765,2,INR,21.981945,44944,,,,4968957345792,,,353273,,2765,0,,0,44944,2895.35,36.080727,,,1473.1,2771,False,,0,2823,2771,,
1,,,,,,,,,none,1121434000,,,121.9,,,,,,,,,,,,,INR,1,,,,BSE,ANDHRA PETROCHEMICALS LTD.,The Andhra Petrochemicals Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ANDHRAPET.BO,,,,,in_market,116.4,119.8,39.92555,0.008591065,,,122.2,,175122,,116.4,53.19143,1,119.8,175122,,,,,,,,,117,2,INR,,286419,,,,10358038528,,,178171,,117,0,,0,286419,122.2,,,,14.7,121.9,False,,0,122.2,121.9,,
1,,,,,,,,30,none,3420120000,,30,11.07,,,,1,30,,,30,,,,,INR,1,,,,BSE,ANSAL PROPERTIES & INFRASTRUCT,Ansal Properties & Infrastructure Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ANSALAPI.BO,,,,6030c1ed-f5b6-3587-bd03-25ac92896614,in_market,11.14,11.4,5.8375735,,,,11.4,,108354,,11.14,9.292059,,11.4,108354,,,,,,,,,10.74,2,INR,,17801,,,,1742473216,,,90439,,10.74,11.34,,0,17801,13.89,,,,3.4,11.07,False,,0,11.4,11.07,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,BSE,UTIQUE ENTERPRISES LIMITED,,Asia/Kolkata,IST,False,19800000,,EQUITY,UTIQUE.BO,,,,,in_market,3.08,3.18,,,,,3.2,,,,3.08,,,3.18,,,,,,,,,,2.97,4,INR,,57798,,,,,,,,,2.97,3.07,,,57798,3.2,,,,2.97,3.02,False,,,3.2,3.07,,
1,,,,,,,,,none,-3450000,,,9.49,,,,,,,,,,,,,INR,1,,,,BSE,ARUNA HOTELS LTD.,Aruna Hotels Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ARUNAHTEL.BO,,,,c3272bd6-a3f8-3f33-b72b-873a82bb864d,in_market,9.31,9.5,6.4447103,,,,9.75,,485,,9.31,6.730294,,9.5,485,,,,,,,,,8.9,2,INR,,87653,,,,85410000,,,912,,8.9,9.65,,0,87653,9.75,,,,4.77,9.5,False,,0,9.75,9.49,,
1,,,,,,,,91,none,8658800000,,91,86.9,,,,1,91,,,91,,,,,INR,1,,,,BSE,BOMBAY DYEING & MFG.CO.LTD.,The Bombay Dyeing and Manufacturing Company Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BOMDYEING.BO,,,,9974a4e5-9b3c-383d-9841-0b4066cbab82,in_market,85.5,86.6,69.88971,0.0023391813,,,90.3,,229154,,85.5,76.98088,0.2,86.6,229154,,,,,,,,,85.85,2,INR,10.505319,467581,,,,17947891712,,,503325,,85.85,0,,0,467581,90.3,,,,36.2,86.9,False,,0,90.3,86.9,,
1,,,,,,,,,none,1464901000,,,74.4,,,,,,,,,,,,,INR,1,,,,BSE,ASIAN HOTELS (NORTH) LIMITED,Asian Hotels (North) Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ASIANHOTNR.BO,,,,dffa9101-49da-3800-afe8-c2a98dee8f09,in_market,74,73.25,62.168015,,,,78.95,,2443,,74,72.33971,,73.25,2443,,,,,,,,,73.25,2,INR,,1054,,,,1447318144,,,2709,,73.25,74.9,,0,1054,83,,,,44.25,72.75,False,,0,78.95,74.4,,
1,,,,,,,,3234,none,19915300000,,3880,8881.85,,,,5,3672.8,,,4000,,,,,INR,1,,,,BSE,ATUL LTD.,Atul Ltd,Asia/Kolkata,IST,False,19800000,,EQUITY,ATUL.BO,,,,65f588bd-d121-33c7-8bc0-4f530a5cc704,in_market,8801.8,8760,6146.255,0.0017041969,,,8900,,14880,,8801.8,6496.0425,15,8760,14880,,,,,,,,,8742.05,2,INR,41.36326,1432,,,,263597309952,,,4768,,8742.05,8888,,0,1432,8900,54.009422,,,3256.6,8851,False,,0,8900,8881.85,,
1,,,,,,,,,none,170236000,,,12.46,,,,,,,,,,,,,INR,1,,,,BSE,ATV PROJECTS INDIA LTD.,ATV Projects India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ATVPR.BO,,,,ced0f4f3-64b6-33d3-9302-bd30e81b18a9,in_market,12.36,12.97,4.238309,,,,12.97,,14181,,12.36,5.4451513,,12.97,14181,,,,,,,,,12,2,INR,26.012526,49433,,,,661842816,,,28131,,12,12.51,,0,49433,12.97,,,,2.59,12.4,False,,0,12.97,12.46,,
1,,,,,,,,416,none,13321394000,,550,1035.4,,,,12,574.75,,,735,,,,,INR,1,,,,BSE,BAJAJ ELECTRICALS LTD.,Bajaj Electricals Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BAJAJELEC.BO,,,,11e17882-fd0b-3989-b28c-3276188a5574,in_market,1034.65,1037.2,575.0349,0.0033827864,,,1047.6,,155932,,1034.65,756.92206,3.5,1037.2,155932,,,,,,,,,1030,2,INR,,4591,,,,117893750784,,,44403,,1030,1035.8,,0,4591,1123.7,40.085175,,,260,1031,False,,0,1047.6,1035.4,,
1,,,,,,,,8,none,10794500000,,8,13.29,,,,1,8,,,8,,,,,INR,1,,,,BSE,BAJAJ HINDUSTHAN SUGAR LIMITED,Bajaj Hindusthan Sugar Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BAJAJHIND.BO,,,,0ec263cf-a332-3829-96c5-23271b9d5066,in_market,12.78,12.81,5.6792645,,,,13.41,,544698,,12.78,6.547647,,12.81,544698,,,,,,,,,12.75,2,INR,,1297972,,,,15065013248,,,1137595,,12.75,13.35,,0,1297972,13.41,,,,2.34,13.29,False,,0,13.41,13.29,,
1,,,,,,,,5186,none,9641600000,,5186,1279.65,,,,1,5186,,,5186,,,,,INR,1,,,,BSE,FORCE MOTORS LTD.,Force Motors Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,FORCEMOT.BO,,,,dcd0f0e4-86f9-38ef-aeb0-76551873d52d,in_market,1282.55,1287.55,1178.4216,0.0077969665,,,1324.85,,3169,,1282.55,1389.7544,10,1287.55,3169,,,,,,,,,1273,2,INR,,6802,,,,16861052928,,,11688,,1273,1279.65,,0,6802,1559.5,8.813017,,,580,0,False,,0,1324.85,1279.65,,
1,,,,,,,,1048,none,157692000000,,2470,7070.2,,,,25,2380.76,,,3110,,,,,INR,1,,,,BSE,BAJAJ FINANCE LIMITED,Bajaj Finance Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,BAJFINANCE.BO,,,,3abfe557-a9a2-339b-8957-ff2accc469d7,in_market,7179.8,7130,4163.2676,0.0013927965,,,7233.55,,100781,,7179.8,5135.372,10,7130,100781,,,,,,,,,7055.25,2,INR,83.84266,33908,,,,4266766893056,,,173828,,7055.25,7080,,0,33908,7233.55,83.71063,,,1783.1,7075,False,,0,7233.55,7070.2,,
