symbol,returnOnEquity,returnOnAssets,dividendYield,cluster,sector
AIAENG.NS,13.78,7.68,0.48,1,Industrials
AARTIIND.NS,15.64,7.25,0.33,1,Basic Materials
ABBOTINDIA.NS,30.73,15.88,0.63,1,Healthcare
ADANIENT.NS,5.5,2.65,0.06,1,Energy
ADANIPORTS.NS,17.59,5.72,0.68,1,Industrials
ADVENZYMES.NS,14.79,11.42,0.22,1,Basic Materials
AEGISCHEM.NS,15.57,7.92,0.85,1,Energy
AJANTPHARM.NS,22.5,14.09,0.46,1,Healthcare
ALEMBICLTD.NS,14.87,0.28,0.16,1,Healthcare
APLLTD.NS,17.62,8.51,1.73,1,Healthcare
ALKYLAMINE.NS,40.51,24.56,0.23,1,Basic Materials
ANGELBRKG.NS,34.61,8.51,3.72,0,Financial Services
ANURAS.NS,9.73,6.0,0.06,1,Basic Materials
APOLLOHOSP.NS,24.41,7.49,0.05,1,Healthcare
ASHOKLEY.NS,0.93,2.84,0.5,1,Industrials
ASIANPAINT.NS,27.26,13.38,0.57,1,Basic Materials
ASTRAL.NS,23.75,13.3,0.08,1,Industrials
ATUL.NS,17.27,10.09,0.23,1,Basic Materials
AUROPHARMA.NS,24.95,7.94,0.58,1,Healthcare
AVANTIFEED.NS,13.83,7.34,1.19,1,Consumer Defensive
BASF.NS,27.33,10.89,0.13,1,Basic Materials
BAJFINANCE.NS,13.58,2.84,0.14,1,Financial Services
BAJAJFINSV.NS,12.47,5.41,0.02,1,Financial Services
BAJAJHLDNG.NS,9.31,0.47,1.03,1,Financial Services
BALKRISIND.NS,23.87,12.19,0.72,1,Consumer Cyclical
BALRAMCHIN.NS,17.0,9.93,0.76,1,Consumer Defensive
BANDHANBNK.NS,-12.15,-1.74,0.35,1,Financial Services
BATAINDIA.NS,-4.89,-1.78,0.24,1,Consumer Cyclical
BAYERCROP.NS,15.79,9.44,0.47,1,Basic Materials
BDL.NS,12.76,3.63,1.78,1,Industrials
BEL.NS,21.24,6.81,2.61,1,Industrials
BHARATFORG.NS,-2.37,1.04,0.27,1,Consumer Cyclical
BPCL.NS,40.88,5.9,10.09,0,Energy
BHARATRAS.NS,22.66,14.16,0.01,1,Basic Materials
BLUEDART.NS,56.59,12.06,0.27,1,Industrials
BBTC.NS,17.66,11.14,0.12,1,Consumer Defensive
BRIGADE.NS,-3.89,1.48,0.36,1,Real Estate
BRITANNIA.NS,69.66,17.44,2.11,0,Consumer Defensive
CCL.NS,18.08,9.54,1.16,1,Consumer Defensive
CESC.NS,13.6,4.24,6.09,0,Utilities
CADILAHC.NS,15.4,6.71,0.61,1,Healthcare
CAPLIPOINT.NS,23.36,14.19,0.22,1,Healthcare
CASTROLIND.NS,55.96,27.82,4.33,0,Basic Materials
CDSL.NS,28.6,19.89,0.62,1,Financial Services
CENTURYTEX.NS,2.43,1.28,0.13,1,Basic Materials
CHOLAFIN.NS,16.35,2.2,0.42,1,Financial Services
CIPLA.NS,13.96,8.79,0.54,1,Healthcare
COALINDIA.NS,35.2,6.48,6.24,0,Energy
COCHINSHIP.NS,15.7,5.89,7.57,0,Industrials
COFORGE.NS,23.4,12.12,0.71,1,Technology
COLPAL.NS,64.49,29.85,2.65,0,Consumer Defensive
CAMS.NS,48.38,23.76,1.06,1,Technology
CONCOR.NS,7.26,4.53,0.73,1,Industrials
CUMMINSIND.NS,14.03,7.37,1.92,1,Industrials
DBL.NS,-1.24,4.95,0.18,1,Industrials
DIVISLAB.NS,23.41,16.71,0.41,1,Healthcare
DRREDDY.NS,10.09,7.4,0.52,1,Healthcare
EICHERMOT.NS,15.27,7.41,0.7,1,Consumer Cyclical
ELGIEQUIP.NS,16.63,5.67,0.29,1,Industrials
EQUITAS.NS,12.19,1.66,3.31,1,Financial Services
ERIS.NS,24.72,14.3,1.58,1,Healthcare
ESCORTS.NS,18.48,9.6,0.27,1,Industrials
EXIDEIND.NS,10.82,7.78,2.76,1,Consumer Cyclical
FEDERALBNK.NS,10.56,0.89,0.78,1,Financial Services
FINEORG.NS,17.82,10.6,0.21,1,Basic Materials
FINCABLES.NS,14.38,5.68,1.11,1,Industrials
FSL.NS,14.91,9.3,3.46,0,Technology
GMMPFAUDLR.NS,7.99,6.97,0.08,1,Industrials
GALAXYSURF.NS,21.68,10.57,0.24,1,Basic Materials
GLAXO.NS,37.84,15.84,1.79,1,Healthcare
GODFRYPHLP.NS,17.21,8.02,2.46,1,Consumer Defensive
GODREJAGRO.NS,14.44,5.5,1.16,1,Consumer Defensive
GRANULES.NS,22.26,10.14,0.46,1,Healthcare
GESHIP.NS,6.04,3.38,2.9,1,Industrials
GRINDWELL.NS,21.5,12.21,0.59,1,Industrials
GUJALKALI.NS,3.91,2.33,1.33,1,Basic Materials
GUJGASLTD.NS,33.15,14.4,0.17,1,Utilities
GNFC.NS,12.26,6.88,2.27,1,Basic Materials
GPPL.NS,9.81,7.04,4.53,0,Industrials
GSFC.NS,6.84,3.68,1.91,1,Basic Materials
GSPL.NS,29.5,14.34,0.65,1,Utilities
HEG.NS,4.77,2.04,0.17,1,Industrials
HCLTECH.NS,21.58,11.63,3.42,0,Technology
HDFCAMC.NS,31.01,24.35,1.17,1,Financial Services
HDFCBANK.NS,16.01,1.92,0.43,1,Financial Services
HDFCLIFE.NS,14.42,0.57,0.3,1,Financial Services
HFCL.NS,18.16,8.66,0.21,1,Technology
HAPPSTMNDS.NS,30.2,14.4,0.25,1,Technology
HATSUN.NS,25.58,10.05,0.65,1,Consumer Defensive
HAVELLS.NS,23.3,10.96,0.51,1,Industrials
HEROMOTOCO.NS,18.88,9.66,3.68,0,Consumer Cyclical
HIKAL.NS,15.22,8.07,0.22,1,Healthcare
HINDALCO.NS,16.26,5.88,0.27,1,Basic Materials
HGS.NS,17.61,6.92,0.99,1,Industrials
HAL.NS,22.6,3.92,2.73,1,Industrials
HINDPETRO.NS,25.64,5.06,7.05,0,Energy
HINDUNILVR.NS,17.74,10.08,2.29,1,Consumer Defensive
HONAUT.NS,17.21,8.19,0.22,1,Industrials
ICICIBANK.NS,13.9,1.48,0.29,1,Financial Services
ICICIGI.NS,15.55,2.55,0.54,1,Financial Services
ICICIPRULI.NS,7.4,0.25,0.34,1,Financial Services
ISEC.NS,71.26,14.14,3.09,0,Financial Services
IOLCP.NS,23.6,14.82,1.3,1,Healthcare
ITC.NS,24.01,14.8,9.04,0,Consumer Defensive
INDIACEM.NS,3.69,2.97,0.3,1,Basic Materials
IBULHSGFIN.NS,7.36,1.29,3.51,1,Financial Services
INDIAMART.NS,28.33,10.71,0.21,1,Communication Services
IEX.NS,45.9,20.88,0.67,1,Financial Services
INDHOTEL.NS,-16.92,-3.58,0.29,1,Consumer Cyclical
IRFC.NS,15.67,1.58,6.31,0,Financial Services
INDOCO.NS,16.93,9.55,0.32,1,Healthcare
IGL.NS,20.06,8.98,0.54,1,Utilities
INFIBEAM.NS,2.6,1.4,0.11,1,Technology
NAUKRI.NS,36.43,3.0,0.15,1,Communication Services
INFY.NS,29.82,15.82,1.79,1,Technology
IPCALAB.NS,20.32,11.18,0.52,1,Healthcare
JBCHEPHARM.NS,26.14,14.35,1.03,1,Healthcare
