,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,symbol
Value,False,False,False,3.68,False,False,False,False,False,,15,6.5,,False,False,13.71,4,UNDER_PERF,False,False,False,6.53,Transportation Infrastructure,False,3.54,,False,ADANIPORTS.ns
Value,False,False,False,3.85,False,False,False,False,False,0,14,7.28,0,False,False,21.78,2,,False,False,False,28.74,Construction Materials,False,10.64,0,False,AMBUJACEM.ns
Value,False,False,False,9.42,False,False,False,False,False,,73,9.28,,False,False,30.39,1,OUT_PERF,False,False,False,60.92,Chemicals,False,11.69,,False,ASIANPAINT.ns
Value,False,False,False,19.37,False,False,False,False,True,,83,13.68,,True,False,35.76,3,OUT_PERF,False,False,False,77.9,Pharmaceuticals,False,2.71,,False,AUROPHARMA.ns
Value,False,False,False,13.77,False,False,False,False,False,0,165,13.25,0,False,False,29.15,2,,False,False,False,56.54,Banks,False,2.13,0,False,AXISBANK.ns
Value,False,False,False,3.96,False,False,False,False,False,0,37,7.47,0,False,False,15.24,1,LAG_PERF,False,False,False,9.53,Automobiles,False,3.81,0,False,BAJAJ-AUTO.ns
Value,False,False,False,11.75,False,False,False,False,False,,91,15.1,,False,False,29.5,1,AVG_PERF,False,False,False,57.8,Insurance,False,2.64,,False,BAJAJFINSV.ns
Value,False,False,False,0,False,False,False,False,False,0,17,0,0,False,False,35.96,4,LEAD_PERF,False,False,False,78.49,Electrical Equipment,False,0,0,True,BHEL.ns
Value,False,False,False,8.7,False,False,False,False,False,,37,7.17,,False,False,36.35,2,OUT_PERF,False,False,False,79.51,Refiners & Pipelines,False,20.48,,False,BPCL.ns
Value,False,False,False,13.56,False,False,False,False,False,0,66,8.89,0,False,False,26.51,3,,False,False,False,46.75,Telecommunication Services,False,4.06,0,False,BHARTIARTL.ns
Value,False,False,False,0,False,False,False,False,False,0,24,0,0,False,False,13.21,2,LAG_PERF,False,False,False,5.52,Auto Components,False,0,0,False,BOSCHLTD.ns
Value,False,False,False,,False,False,False,False,True,,83,,,True,False,40.92,3,LEAD_PERF,False,False,False,87.96,Pharmaceuticals,False,,,False,CADILAHC.ns
Value,False,False,False,22.25,False,False,False,False,True,,83,13.11,,True,False,37.46,2,OUT_PERF,False,False,False,82.04,Pharmaceuticals,False,2.1,,False,CIPLA.ns
Value,False,False,False,12.06,False,False,False,False,False,,71,7.1,,False,False,35.99,3,OUT_PERF,True,False,False,76.92,Oil & Gas Producers,False,16.84,,False,COALINDIA.ns
Value,False,False,False,8.49,False,False,False,False,False,0,27,8.41,0,True,False,29.33,1,,False,False,False,57.1,Household Products,False,12.43,0,False,DABUR.ns
Value,False,False,False,20.82,False,False,False,False,True,0,83,13.78,0,True,False,36.6,3,LEAD_PERF,False,False,False,80.26,Pharmaceuticals,False,2.01,0,False,DRREDDY.ns
Value,False,False,False,5.48,False,False,False,False,False,,37,6.88,,False,False,16.17,2,UNDER_PERF,False,False,False,11.75,Automobiles,False,3.82,,False,EICHERMOT.ns
Value,False,False,False,10.54,False,False,False,False,False,0,103,8.28,0,False,False,28.68,3,,False,False,False,54.66,Utilities,False,9.86,0,False,GAIL.ns
Value,False,False,False,7.27,False,False,False,False,False,0,27,8.39,0,False,False,26.57,1,,False,False,False,46.97,Household Products,False,10.91,0,False,GODREJCP.ns
