,symbol,sector,previousClose,sharesOutstanding,market_cap,socialScore,governanceScore,environmentScore,totalEsg,percentile,peerCount,peerGroup,highestControversy,esgPerformance
0,3MINDIA.ns,Industrials,24985.55,11265100,281464719305.0,,,,,,,,,
1,ABB.ns,Industrials,2112.85,211908000,447729817800.0,,,,,,,,,
2,POWERINDIA.ns,Technology,2750.45,42381700,116568746764.99998,,,,,,,,,
3,ACC.ns,Basic Materials,2264.65,187787008,425271847667.2,,,,,,,,,
4,AIAENG.ns,Industrials,1862.3,94320400,175652880920.0,,,,,,,,,
5,APLAPOLLO.ns,Basic Materials,946.55,250106000,236737834300.0,,,,,,,,,
6,AUBANK.ns,,1131.45,,,,,,,,,,,
7,AARTIDRUGS.ns,Healthcare,512.55,92600000,47462129999.99999,,,,,,,,,
8,AARTIIND.ns,Basic Materials,977.2,362504000,354238908800.0,,,,,,,,,
9,AAVAS.ns,Financial Services,2809.05,78931904,221723664931.2,,,,,,,,,
10,ABBOTINDIA.ns,Healthcare,19004.9,21249300,403840821570.00006,,,,,,,,,
11,ADANIENT.ns,Energy,1732.25,1099810048,1905145955648.0,,,,,,,,,
12,ADANIGREEN.ns,Utilities,1341.6,1564009984,2098275794534.4,,,,,,,,,
13,ADANIPORTS.ns,Industrials,739.1,2041750016,1509057436825.6,3.68,6.5,3.54,13.71,6.53,15,Transportation Infrastructure,4,UNDER_PERF
14,ATGL.ns,Utilities,1657.75,1099810048,1823210107072.0,,,,,,,,,
15,ADANITR.ns.ns,Utilities,1885.2,1099810048,2073361902489.6,,,,,,,,,
16,ABCAPITAL.ns,Financial Services,111.25,2415330048,268705467840.0,,,,,,,,,
17,ABFRL.ns,Consumer Cyclical,262.2,937920000,245922624000.0,,,,,,,,,
18,ADVENZYMES.ns,Basic Materials,325.85,111778000,36422861300.0,,,,,,,,,
19,AEGISCHEM.ns,Energy,235,351000000,82485000000,,,,,,,,,
20,AFFLE.ns,Communication Services,1114,26650200,29688322800,,,,,,,,,
21,AJANTPHARM.ns,Healthcare,2117.7,86535800,183256863659.99997,,,,,,,,,
22,ALEMBICLTD.ns,Healthcare,101.45,256782000,26050533900.0,,,,,,,,,
23,APLLTD.ns,Healthcare,803.6,196563008,157958033228.80002,,,,,,,,,
24,ALKEM.ns,Healthcare,3473.2,119565000,415273158000.0,,,,,,,,,
25,ALKYLAMINE.ns,Basic Materials,3219,51069300,164392076700,,,,,,,,,
26,ALOKINDS.ns,Consumer Cyclical,21.4,4965239808,106256131891.2,,,,,,,,,
27,AMARAJABAT.ns,Industrials,627.15,170812000,107124745800.0,,,,,,,,,
28,AMBER.ns,Consumer Cyclical,3036.7,33693700,102317658790.0,,,,,,,,,
29,AMBUJACEM.ns,Basic Materials,377.35,1985650048,749285045612.8,3.85,7.28,10.64,21.78,28.74,14,Construction Materials,2,
30,ANGELBRKG.ns,Financial Services,1240.6,82370400,102188718240.0,,,,,,,,,
31,ANURAS.ns,Basic Materials,792.7,99922400,79208486480.0,,,,,,,,,
32,APOLLOHOSP.ns,Healthcare,5592.95,143784992,804182271006.4,,,,,,,,,
33,APOLLOTYRE.ns,Consumer Cyclical,209.9,635100992,133307698220.8,,,,,,,,,
34,ASAHIINDIA.ns,Consumer Cyclical,470.45,243090000,114361690500.0,,,,,,,,,
35,ASHOKLEY.ns,Industrials,120,2935529984,352263598080,,,,,,,,,
36,ASHOKA.ns,Industrials,96.55,280723008,27103806422.399998,,,,,,,,,
37,ASIANPAINT.ns,Basic Materials,3180.6,959198016,3050825209689.6,9.42,9.28,11.69,30.39,60.92,73,Chemicals,1,OUT_PERF
38,ASTERDM.ns,Healthcare,193.6,499512992,96705715251.2,,,,,,,,,
39,ASTRAZEN.ns,Healthcare,3106.85,25000000,77671250000.0,,,,,,,,,
40,ASTRAL.ns,Industrials,2233.35,200908000,448697881800.0,,,,,,,,,
41,ATUL.ns,Basic Materials,8801.75,29587100,260418257425.0,,,,,,,,,
42,AUROPHARMA.ns,Healthcare,673.55,585939008,394659218838.39996,19.37,13.68,2.71,35.76,77.9,83,Pharmaceuticals,3,OUT_PERF
43,AVANTIFEED.ns,Consumer Defensive,524.85,136246000,71508713100.0,,,,,,,,,
44,DMART.ns,Consumer Defensive,4782.95,647774976,3098275321459.1997,,,,,,,,,
45,AXISBANK.ns,Financial Services,676.1,3065029888,2072266707276.8,13.77,13.25,2.13,29.15,56.54,165,Banks,2,
46,BASF.ns,Basic Materials,2815.45,43285600,121868442519.99998,,,,,,,,,
47,BEML.ns,Industrials,1893.85,41644500,78868436325.0,,,,,,,,,
48,BSE.ns,,1899,,,,,,,,,,,
49,BAJAJ-AUTO.ns,Consumer Cyclical,3328.4,289367008,963129149427.2001,3.96,7.47,3.81,15.24,9.53,37,Automobiles,1,LAG_PERF
50,BAJAJCON.ns,Consumer Defensive,182.55,147540000,26933427000.0,,,,,,,,,
51,BAJAJELEC.ns,Consumer Cyclical,1035.35,114741000,118797094349.99998,,,,,,,,,
52,BAJFINANCE.ns,Financial Services,7180.5,603593984,4334106602112.0,,,,,,,,,
53,BAJAJF.nsV.ns,Financial Services,17758.15,159136992,2825978574484.8003,,,,,,,,,
54,BAJAJHLDNG.ns,Financial Services,5347,111294000,595089018000,,,,,,,,,
55,BALAMINES.ns,Basic Materials,3035.6,32401000,98356475600.0,,,,,,,,,
