,0
0,3MINDIA.ns
1,ABB.ns
2,POWERINDIA.ns
3,ACC.ns
4,AIAENG.ns
5,APLAPOLLO.ns
6,AUBANK.ns
7,AARTIDRUGS.ns
8,AARTIIND.ns
9,AAVAS.ns
10,ABBOTINDIA.ns
11,ADANIENT.ns
12,ADANIGREEN.ns
13,ATGL.ns
14,ADANITRANS.ns
15,ABCAPITAL.ns
16,ABFRL.ns
17,ADVENZYMES.ns
18,AEGISCHEM.ns
19,AFFLE.ns
20,AJANTPHARM.ns
21,ALEMBICLTD.ns
22,APLLTD.ns
23,ALKEM.ns
24,ALKYLAMINE.ns
25,ALOKINDS.ns
26,AMARAJABAT.ns
27,AMBER.ns
28,ANGELBRKG.ns
29,ANURAS.ns
30,APOLLOHOSP.ns
31,APOLLOTYRE.ns
32,ASAHIINDIA.ns
33,ASHOKLEY.ns
34,ASHOKA.ns
35,ASTERDM.ns
36,ASTRAZEN.ns
37,ASTRAL.ns
38,ATUL.ns
39,AVANTIFEED.ns
40,DMART.ns
41,BASF.ns
42,BEML.ns
43,BSE.ns
44,BAJAJCON.ns
45,BAJAJELEC.ns
46,BAJFINANCE.ns
47,BAJAJHLDNG.ns
48,BALAMINES.ns
49,BALKRISIND.ns
50,BALRAMCHIN.ns
51,BANDHANBNK.ns
52,BANKBARODA.ns
53,BANKINDIA.ns
54,MAHABANK.ns
55,BATAINDIA.ns
56,BAYERCROP.ns
57,BERGEPAINT.ns
58,BDL.ns
59,BEL.ns
60,BHARATFORG.ns
61,BHARATRAS.ns
62,BIOCON.ns
63,BIRLACORPN.ns
64,BSOFT.ns
65,BLUEDART.ns
66,BLUESTARCO.ns
67,BBTC.ns
68,BRIGADE.ns
69,BRITANNIA.ns
70,BURGERKING.ns
71,CCL.ns
72,CESC.ns
73,CGPOWER.ns
74,CRISIL.ns
75,CSBBANK.ns
76,CANFINHOME.ns
77,CANBK.ns
78,CAPLIPOINT.ns
79,CGCL.ns
80,CARBORUNIV.ns
81,CASTROLIND.ns
82,CEATLTD.ns
83,CENTRALBK.ns
84,CDSL.ns
85,CENTURYPLY.ns
86,CENTURYTEX.ns
87,CERA.ns
88,CHALET.ns
89,CHAMBLFERT.ns
90,CHOLAHLDNG.ns
91,CHOLAFIN.ns
92,CUB.ns
93,COCHINSHIP.ns
94,COFORGE.ns
95,COLPAL.ns
96,CAMS.ns
97,CONCOR.ns
98,COROMANDEL.ns
99,CREDITACC.ns
100,CROMPTON.ns
101,CUMMINSIND.ns
102,CYIENT.ns
103,DCBBANK.ns
104,DCMSHRIRAM.ns
105,DLF.ns
106,DALBHARAT.ns
107,DEEPAKNTR.ns
108,DELTACORP.ns
109,DHANI.ns
110,DHANUKA.ns
111,DBL.ns
112,DIVISLAB.ns
113,DIXON.ns
114,LALPATHLAB.ns
115,EIDPARRY.ns
116,EIHOTEL.ns
117,EPL.ns
118,EDELWEISS.ns
119,ELGIEQUIP.ns
120,EMAMILTD.ns
121,ENDURANCE.ns
122,ENGINERSIN.ns
123,EQUITAS.ns
124,EQUITASBNK.ns
125,ERIS.ns
126,ESCORTS.ns
127,EXIDEIND.ns
128,FDC.ns
129,FEDERALBNK.ns
130,FACT.ns
131,FINEORG.ns
132,FINCABLES.ns
133,FINPIPE.ns
134,FSL.ns
135,FORTIS.ns
136,FRETAIL.ns
137,GMMPFAUDLR.ns
138,GALAXYSURF.ns
139,GARFIBRES.ns
140,GICRE.ns
141,GILLETTE.ns
142,GLAND.ns
143,GLAXO.ns
144,GLENMARK.ns
145,GODFRYPHLP.ns
146,GODREJAGRO.ns
147,GODREJIND.ns
148,GODREJPROP.ns
149,GRANULES.ns
150,GRAPHITE.ns
151,GESHIP.ns
152,GREAVESCOT.ns
153,GRINDWELL.ns
154,GUJALKALI.ns
155,GAEL.ns
156,FLUOROCHEM.ns
157,GUJGASLTD.ns
158,GNFC.ns
159,GPPL.ns
160,GSFC.ns
161,GSPL.ns
162,HEG.ns
163,HDFCAMC.ns
164,HDFCLIFE.ns
165,HFCL.ns
166,HAPPSTMNDS.ns
167,HATHWAY.ns
168,HATSUN.ns
169,HAVELLS.ns
170,HEIDELBERG.ns
171,HEMIPROP.ns
172,HIKAL.ns
173,HGS.ns
174,HAL.ns
175,HINDCOPPER.ns
176,HINDZINC.ns
177,HOMEFIRST.ns
178,HONAUT.ns
179,HUDCO.ns
180,ICICIGI.ns
181,ICICIPRULI.ns
182,ISEC.ns
183,IDBI.ns
184,IDFCFIRSTB.ns
185,IDFC.ns
186,IFBIND.ns
187,IIFL.ns
188,IIFLWAM.ns
189,IOLCP.ns
190,IRB.ns
191,IRCON.ns
192,ITI.ns
193,INDIACEM.ns
194,IBREALEST.ns
195,INDIAMART.ns
196,INDIANB.ns
197,IEX.ns
198,INDHOTEL.ns
199,IOB.ns
200,IRCTC.ns
201,IRFC.ns
202,INDIGOPNTS.ns
203,ICIL.ns
204,INDOCO.ns
205,IGL.ns
206,INDUSINDBK.ns
207,INFIBEAM.ns
208,NAUKRI.ns
209,INGERRAND.ns
210,INOXLEISUR.ns
211,INTELLECT.ns
212,INDIGO.ns
213,IPCALAB.ns
214,JBCHEPHARM.ns
215,JKCEMENT.ns
216,JKLAKSHMI.ns
217,JKPAPER.ns
218,JKTYRE.ns
219,JMFINANCIL.ns
220,JSWENERGY.ns
221,JAMNAAUTO.ns
222,JINDALSAW.ns
223,JSLHISAR.ns
224,JSL.ns
225,JINDALSTEL.ns
226,JCHAC.ns
227,JUBLFOOD.ns
228,JUBLINGREA.ns
229,JUBLPHARMA.ns
230,JUSTDIAL.ns
231,JYOTHYLAB.ns
232,KPRMILL.ns
233,KEI.ns
234,KNRCON.ns
235,KPITTECH.ns
236,KRBL.ns
237,KSB.ns
238,KAJARIACER.ns
239,KALPATPOWR.ns
240,KALYANKJIL.ns
241,KANSAINER.ns
242,KARURVYSYA.ns
243,KSCL.ns
244,KEC.ns
245,L&TFH.ns
246,LTTS.ns
247,LICHSGFIN.ns
248,LAOPALA.ns
249,LAXMIMACH.ns
250,LTI.ns
251,LAURUSLABS.ns
252,LXCHEM.ns
253,LEMONTREE.ns
254,LINDEINDIA.ns
255,LUXIND.ns
256,MMTC.ns
257,MOIL.ns
258,MRF.ns
259,LODHA.ns
260,MGL.ns
261,M&MFIN.ns
262,MAHINDCIE.ns
263,MHRIL.ns
264,MAHLOG.ns
265,MANAPPURAM.ns
266,MRPL.ns
267,MASTEK.ns
268,MFSL.ns
269,MAXHEALTH.ns
270,MAZDOCK.ns
271,METROPOLIS.ns
272,MINDTREE.ns
273,MINDACORP.ns
274,MINDAIND.ns
275,MIDHANI.ns
276,MOTILALOFS.ns
277,MPHASIS.ns
278,MCX.ns
279,MUTHOOTFIN.ns
280,NATCOPHARM.ns
281,NBCC.ns
282,NCC.ns
