,symbol,sector,previousClose,sharesOutstanding
1,3MINDIA.NS,Industrials,24985.55,11265100
1,ABB.NS,Industrials,2112.85,211908000
1,POWERINDIA.NS,Technology,2750.45,42381700
1,ACC.NS,Basic Materials,2264.65,187787008
1,AIAENG.NS,Industrials,1862.3,94320400
1,APLAPOLLO.NS,Basic Materials,946.55,250106000
1,AUBANK.NS,,1131.45,
1,AARTIDRUGS.NS,Healthcare,512.55,92600000
1,AARTIIND.NS,Basic Materials,977.2,362504000
1,AAVAS.NS,Financial Services,2809.05,78931904
1,ABBOTINDIA.NS,Healthcare,19004.9,21249300
1,ADANIENT.NS,Energy,1732.25,1099810048
1,ADANIGREEN.NS,Utilities,1341.6,1564009984
1,ADANIPORTS.NS,Industrials,739.1,2041750016
1,ATGL.NS,Utilities,1657.75,1099810048
1,ADANITRANS.NS,Utilities,1885.2,1099810048
1,ABCAPITAL.NS,Financial Services,111.25,2415330048
1,ABFRL.NS,Consumer Cyclical,262.2,937920000
1,ADVENZYMES.NS,Basic Materials,325.85,111778000
1,AEGISCHEM.NS,Energy,235,351000000
1,AFFLE.NS,Communication Services,1114,26650200
1,AJANTPHARM.NS,Healthcare,2117.7,86535800
1,ALEMBICLTD.NS,Healthcare,101.45,256782000
1,APLLTD.NS,Healthcare,803.6,196563008
1,ALKEM.NS,Healthcare,3473.2,119565000
1,ALKYLAMINE.NS,Basic Materials,3219,51069300
1,ALOKINDS.NS,Consumer Cyclical,21.4,4965239808
1,AMARAJABAT.NS,Industrials,627.15,170812000
1,AMBER.NS,Consumer Cyclical,3036.7,33693700
1,AMBUJACEM.NS,Basic Materials,377.35,1985650048
1,ANGELBRKG.NS,Financial Services,1240.6,82370400
1,ANURAS.NS,Basic Materials,792.7,99922400
1,APOLLOHOSP.NS,Healthcare,5592.95,143784992
1,APOLLOTYRE.NS,Consumer Cyclical,209.9,635100992
1,ASAHIINDIA.NS,Consumer Cyclical,470.45,243090000
1,ASHOKLEY.NS,Industrials,120,2935529984
1,ASHOKA.NS,Industrials,96.55,280723008
1,ASIANPAINT.NS,Basic Materials,3180.6,959198016
1,ASTERDM.NS,Healthcare,193.6,499512992
1,ASTRAZEN.NS,Healthcare,3106.85,25000000
1,ASTRAL.NS,Industrials,2233.35,200908000
1,ATUL.NS,Basic Materials,8801.75,29587100
1,AUROPHARMA.NS,Healthcare,673.55,585939008
1,AVANTIFEED.NS,Consumer Defensive,524.85,136246000
1,DMART.NS,Consumer Defensive,4782.95,647774976
1,AXISBANK.NS,Financial Services,676.1,3065029888
1,BASF.NS,Basic Materials,2815.45,43285600
1,BEML.NS,Industrials,1893.85,41644500
1,BSE.NS,,1899,
1,BAJAJ-AUTO.NS,Consumer Cyclical,3328.4,289367008
