,symbol,socialScore,governanceScore,environmentScore,totalEsg,percentile,peerCount,peerGroup,highestControversy,esgPerformance
Value,ADANIPORTS.ns,3.68,6.5,3.54,13.71,6.53,15,Transportation Infrastructure,4,UNDER_PERF
Value,AMBUJACEM.ns,3.85,7.28,10.64,21.78,28.74,14,Construction Materials,2,
Value,ASIANPAINT.ns,9.42,9.28,11.69,30.39,60.92,73,Chemicals,1,OUT_PERF
Value,AUROPHARMA.ns,19.37,13.68,2.71,35.76,77.9,83,Pharmaceuticals,3,OUT_PERF
Value,AXISBANK.ns,13.77,13.25,2.13,29.15,56.54,165,Banks,2,
Value,BAJAJ-AUTO.ns,3.96,7.47,3.81,15.24,9.53,37,Automobiles,1,LAG_PERF
Value,BAJAJFINSV.ns,11.75,15.1,2.64,29.5,57.8,91,Insurance,1,AVG_PERF
Value,BHEL.ns,0,0,0,35.96,78.49,17,Electrical Equipment,4,LEAD_PERF
Value,BPCL.ns,8.7,7.17,20.48,36.35,79.51,37,Refiners & Pipelines,2,OUT_PERF
Value,BHARTIARTL.ns,13.56,8.89,4.06,26.51,46.75,66,Telecommunication Services,3,
Value,BOSCHLTD.ns,0,0,0,13.21,5.52,24,Auto Components,2,LAG_PERF
Value,CADILAHC.ns,,,,40.92,87.96,83,Pharmaceuticals,3,LEAD_PERF
Value,CIPLA.ns,22.25,13.11,2.1,37.46,82.04,83,Pharmaceuticals,2,OUT_PERF
Value,COALINDIA.ns,12.06,7.1,16.84,35.99,76.92,71,Oil & Gas Producers,3,OUT_PERF
Value,DABUR.ns,8.49,8.41,12.43,29.33,57.1,27,Household Products,1,
Value,DRREDDY.ns,20.82,13.78,2.01,36.6,80.26,83,Pharmaceuticals,3,LEAD_PERF
Value,EICHERMOT.ns,5.48,6.88,3.82,16.17,11.75,37,Automobiles,2,UNDER_PERF
Value,GAIL.ns,10.54,8.28,9.86,28.68,54.66,103,Utilities,3,
Value,GODREJCP.ns,7.27,8.39,10.91,26.57,46.97,27,Household Products,1,
Value,GRASIM.ns,11.21,12.77,18.49,42.47,90.31,35,Industrial Conglomerates,2,
Value,HCLTECH.ns,9.2,6.13,1.13,16.46,12.49,99,Software & Services,1,LAG_PERF
Value,HDFCBANK.ns,12.9,12.96,2.38,28.24,52.96,165,Banks,2,AVG_PERF
Value,HEROMOTOCO.ns,3.39,6.73,2.3,12.42,4.29,37,Automobiles,1,LAG_PERF
Value,HINDALCO.ns,10.36,10.42,13.37,34.16,73.48,26,Diversified Metals,3,OUT_PERF
Value,HINDPETRO.ns,10.18,7.22,22.08,39.49,85.72,37,Refiners & Pipelines,2,OUT_PERF
Value,HINDUNILVR.ns,8.7,6.62,10.67,25.98,44.8,27,Household Products,2,AVG_PERF
Value,HDFC.ns,7.29,9.45,2.25,18.99,18.43,175,Banks,2,LAG_PERF
Value,ICICIBANK.ns,17.94,15.64,2.35,35.94,78.44,165,Banks,3,OUT_PERF
