,symbol,sector,previousClose,sharesOutstanding,market_cap,socialScore,governanceScore,environmentScore,totalEsg,percentile,peerCount,peerGroup,highestControversy,esgPerformance
13,ADANIPORTS.ns,Industrials,739.1,2041750016,1509057436825.6,3.68,6.5,3.54,13.71,6.53,15,Transportation Infrastructure,4,UNDER_PERF
29,AMBUJACEM.ns,Basic Materials,377.35,1985650048,749285045612.8,3.85,7.28,10.64,21.78,28.74,14,Construction Materials,2,
37,ASIANPAINT.ns,Basic Materials,3180.6,959198016,3050825209689.6,9.42,9.28,11.69,30.39,60.92,73,Chemicals,1,OUT_PERF
42,AUROPHARMA.ns,Healthcare,673.55,585939008,394659218838.39996,19.37,13.68,2.71,35.76,77.9,83,Pharmaceuticals,3,OUT_PERF
45,AXISBANK.ns,Financial Services,676.1,3065029888,2072266707276.8,13.77,13.25,2.13,29.15,56.54,165,Banks,2,
49,BAJAJ-AUTO.ns,Consumer Cyclical,3328.4,289367008,963129149427.2001,3.96,7.47,3.81,15.24,9.53,37,Automobiles,1,LAG_PERF
68,BHEL.ns,Industrials,60.55,3482060032,210838734937.59998,0,0,0,35.96,78.49,17,Electrical Equipment,4,LEAD_PERF
69,BPCL.ns,Energy,378.85,2169250048,821820380684.8,8.7,7.17,20.48,36.35,79.51,37,Refiners & Pipelines,2,OUT_PERF
71,BHARTIARTL.ns,Communication Services,732.55,5488659968,4020717859558.4,13.56,8.89,4.06,26.51,46.75,66,Telecommunication Services,3,
78,BOSCHLTD.ns,Consumer Cyclical,16641.2,29493600,490808896320.0,0,0,0,13.21,5.52,24,Auto Components,2,LAG_PERF
104,CIPLA.ns,Healthcare,921.25,806787008,743252531120.0,22.25,13.11,2.1,37.46,82.04,83,Pharmaceuticals,2,OUT_PERF
106,COALINDIA.ns,Energy,159.3,6162729984,981722886451.2001,12.06,7.1,16.84,35.99,76.92,71,Oil & Gas Producers,3,OUT_PERF
120,DABUR.ns,Consumer Defensive,578.55,1767430016,1022546635756.7999,8.49,8.41,12.43,29.33,57.1,27,Household Products,1,
130,DRREDDY.ns,Healthcare,4662.75,165768992,772939367448.0,20.82,13.78,2.01,36.6,80.26,83,Pharmaceuticals,3,LEAD_PERF
135,EICHERMOT.ns,Consumer Cyclical,2451.55,273411008,670280756662.4,5.48,6.88,3.82,16.17,11.75,37,Automobiles,2,UNDER_PERF
154,GAIL.ns,Utilities,131.65,4440390144,584577362457.6,10.54,8.28,9.86,28.68,54.66,103,Utilities,3,
165,GODREJCP.ns,Consumer Defensive,924.05,1022489984,944831869715.2,7.27,8.39,10.91,26.57,46.97,27,Household Products,1,
170,GRASIM.ns,Basic Materials,1723.85,658078016,1134427787881.5999,11.21,12.77,18.49,42.47,90.31,35,Industrial Conglomerates,2,
183,HCLTECH.ns,Technology,1184.7,2713669888,3214884716313.6,9.2,6.13,1.13,16.46,12.49,99,Software & Services,1,LAG_PERF
185,HDFCBANK.ns,Financial Services,1525.75,5540960256,8454120110592.0,12.9,12.96,2.38,28.24,52.96,165,Banks,2,AVG_PERF
194,HEROMOTOCO.ns,Consumer Cyclical,2472.7,199790000,494020732999.99994,3.39,6.73,2.3,12.42,4.29,37,Automobiles,1,LAG_PERF
196,HINDALCO.ns,Basic Materials,432.1,2230850048,963950305740.8,10.36,10.42,13.37,34.16,73.48,26,Diversified Metals,3,OUT_PERF
200,HINDPETRO.ns,Energy,300.55,1418550016,426345207308.8,10.18,7.22,22.08,39.49,85.72,37,Refiners & Pipelines,2,OUT_PERF
201,HINDUNILVR.ns,Consumer Defensive,2383.3,2349590016,5599777885132.801,8.7,6.62,10.67,25.98,44.8,27,Household Products,2,AVG_PERF
206,HDFC.ns,Financial Services,2807.8,1803949952,5065130675225.601,7.29,9.45,2.25,18.99,18.43,175,Banks,2,LAG_PERF
207,ICICIBANK.ns,Financial Services,722.4,6940279808,5013658133299.2,17.94,15.64,2.35,35.94,78.44,165,Banks,3,OUT_PERF
220,ITC.ns,Consumer Defensive,225.45,12322400256,2778085137715.1997,12.28,8.01,7.15,27.43,49.96,92,Food Products,2,AVG_PERF
229,IOC.ns,Energy,120.65,9414160384,1135818450329.6,9.53,7.18,18.1,34.8,75.32,37,Refiners & Pipelines,2,LEAD_PERF
237,INDUSTOWER.ns,Communication Services,278.8,2694789888,751307420774.4,8.97,7.13,6.24,22.34,30.84,66,Telecommunication Services,0,
241,INFY.ns,Technology,1748.25,4261270016,7449765305472.0,7.69,6.52,1.07,15.28,8.8,103,Software & Services,2,LAG_PERF
254,JSWSTEEL.ns,Basic Materials,646.75,2402400000,1553752200000.0,11.46,10.7,14.52,36.68,80.47,23,Steel,2,LEAD_PERF
279,KOTAKBANK.ns,Financial Services,1964.25,1982390016,3893909588928.0,12.94,11.43,2.24,26.61,47.07,165,Banks,2,
286,LT.ns,Industrials,1789.2,1404600064,2513110434508.8003,13.86,15.91,4.6,34.37,74.16,24,Construction & Engineering,2,LEAD_PERF
291,LUPIN.ns,Healthcare,875.6,453771008,397321894604.8,23.1,15.71,2.36,41.18,88.41,83,Pharmaceuticals,3,
299,M&M.ns,Consumer Cyclical,849.55,1243190016,1056152078092.7999,13.57,6.24,8.13,27.94,52.05,37,Automobiles,2,
305,MARICO.ns,Consumer Defensive,532.85,1291350016,688095856025.6,15.43,6.51,9.8,31.74,65.59,92,Food Products,1,LEAD_PERF
306,MARUTI.ns,Consumer Cyclical,7324.95,302080000,2212720896000.0,10.95,9.3,6.63,26.89,48,37,Automobiles,4,
328,NTPC.ns,Utilities,128.7,9696669696,1247961389875.2,14.67,8.55,17.75,40.98,88.06,103,Utilities,4,
334,NESTLEIND.ns,Consumer Defensive,19503.2,96415696,1880414602227.2,10.28,5.77,10.97,27.02,48.44,92,Food Products,3,
339,ONGC.ns,Energy,144,12580299776,1811563167744,17.45,13.38,22.56,53.39,98.37,64,Oil & Gas Producers,5,
359,PFC.ns,Financial Services,121.55,2640079872,320901708441.6,0,0,0,24.82,40.16,85,Diversified Financials,2,
383,RELIANCE.ns,Energy,2482.85,6762070016,16789205539225.6,10.1,6.27,20.55,36.92,80.88,37,Refiners & Pipelines,2,LEAD_PERF
400,SHREECEM.ns,Basic Materials,26289.8,36080700,948554386860.0,4.19,9.13,15,28.32,53.23,14,Construction Materials,2,
412,SBIN.ns,Financial Services,477,8924609536,4257038748672,13.09,14.54,2.33,29.96,57.7,175,Banks,2,AVG_PERF
420,SUNPHARMA.ns,Healthcare,766.25,2399330048,1838486649280.0,19.69,14.06,3.02,36.77,80.6,83,Pharmaceuticals,3,LEAD_PERF
442,TCS.ns,Technology,3642.9,3699049984,13475269186713.6,6.58,6.76,0.79,14.12,7.36,99,Software & Services,2,LAG_PERF
446,TATAMOTORS.ns,Consumer Cyclical,479.1,3320310016,1590760528665.6,14.01,7.46,8.57,30.05,59.79,37,Automobiles,2,LEAD_PERF
449,TATASTEEL.ns,Basic Materials,1112.4,1125309952,1251794790604.8,14.18,8.84,16.32,39.34,85.39,23,Steel,3,LEAD_PERF
452,TECHM.ns,Technology,1629.65,968988992,1579112910812.8,6.81,5.84,0.47,13.12,5.33,99,Software & Services,1,LAG_PERF
458,TITAN.ns,Consumer Cyclical,2386.5,887800000,2118734700000.0,7.14,6.26,1.64,15.04,9.15,18,Textiles & Apparel,2,LAG_PERF
467,UPL.ns,Basic Materials,698.2,764044992,533456213414.4,8.8,6.78,11.11,26.68,47.36,73,Chemicals,2,
471,ULTRACEMCO.ns,Basic Materials,7323.2,288451008,2112384421785.5999,5.04,10.6,18.46,34.1,73.25,14,Construction Materials,2,OUT_PERF
474,MCDOWELL-N.ns,Consumer Defensive,887.95,726638976,645219078739.2001,8.85,6.33,8.6,23.78,36.12,92,Food Products,3,AVG_PERF
484,VEDL.ns,Basic Materials,337.9,3717199872,1256041836748.7998,15.8,7.59,20.69,44.09,92.54,26,Diversified Metals,4,
487,IDEA.ns,Communication Services,12.8,28735399936,367813119180.80005,14.46,8.98,7.64,31.07,63.37,66,Telecommunication Services,3,LEAD_PERF
494,WIPRO.ns,Technology,646.8,5459820032,3531411596697.5996,6.86,5.48,0.95,13.28,5.71,99,Software & Services,2,LAG_PERF
