,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Ann,ROE,ROA
0,Reliance Industr,2381.85,29.19,1510441.67,0.29,13680.0,42.99,167611.0,50.68,8.19,44221.7,7.97,3.9
1,TCS,3584.5,36.27,1326694.03,1.06,9624.0,15.34,46867.0,16.77,48.9,33311.02,39.06,26.75
2,HDFC Bank,1525.7,24.68,844485.91,0.43,9096.19,18.09,33520.44,5.6,6.31,31800.08,16.47,1.88
3,Infosys,1711.65,34.52,720542.38,1.58,5421.0,11.89,29602.0,20.48,35.25,19297.22,27.22,19.44
4,Hind. Unilever,2321.6,64.5,545221.08,1.34,2181.0,7.3,13046.0,11.67,39.21,8171.57,29.23,18.39
5,H D F C,2817.5,24.5,510192.45,0.82,5258.01,14.31,38590.84,13.23,9.23,18740.06,13.25,2.63
6,ICICI Bank,734.65,23.99,509591.16,0.27,6091.84,24.77,23478.0,5.63,5.73,18388.67,13.11,1.38
7,Bajaj Finance,7103.15,86.13,428569.5,0.14,1480.99,53.49,7731.36,18.7,9.39,4424.77,12.78,2.63
8,St Bk of India,476.7,12.57,425390.52,0.84,8889.84,168.47,73029.13,4.26,4.53,21619.77,8.21,0.51
9,Kotak Mah. Bank,1937.15,38.45,383962.98,0.05,2988.74,1.43,8225.63,-1.05,6.49,9961.94,13.11,2.16
10,Wipro,632.4,28.62,346737.99,0.16,2930.7,18.86,19668.9,30.29,22.1,10796.4,19.59,13.29
11,HCL Technologies,1149.65,27.04,311962.79,1.91,3259.0,3.69,20655.0,11.08,25.7,10993.85,19.78,13.05
12,Avenue Super.,4660.65,219.58,301701.51,0.0,417.79,110.42,7788.94,46.79,12.71,1099.49,9.45,8.54
13,Asian Paints,3030.35,89.31,290699.2,0.59,595.96,-28.23,7096.01,32.63,34.81,3125.99,27.26,17.5
14,Bajaj Finserv,17109.0,64.45,272246.5,0.02,1122.13,13.77,18008.22,19.66,11.86,4473.6,13.33,2.78
15,ITC,220.65,19.05,271893.27,4.87,3713.76,10.26,13757.15,13.91,28.62,13201.98,21.02,17.77
16,Larsen & Toubro,1798.1,29.06,252717.56,1.0,1819.45,-78.61,34772.9,12.05,15.3,13972.08,19.26,5.05
17,Adani Green,1389.7,541.48,217437.81,0.0,100.0,460.72,1295.0,111.6,10.96,210.0,25.86,1.13
18,Maruti Suzuki,7186.6,51.7,217112.85,0.63,486.9,-65.7,20550.9,9.57,5.2,2239.73,4.4,3.32
19,Titan Company,2380.55,120.87,211278.34,0.17,639.0,265.14,7493.0,64.57,12.96,961.35,13.57,6.42
20,UltraTech Cem.,7299.4,33.04,210676.0,0.51,1313.53,-2.9,12016.78,15.69,15.13,5463.1,13.13,6.69
21,Axis Bank,687.0,21.06,210669.33,0.0,3387.7,84.45,16682.64,2.87,4.84,7195.5,7.58,0.75
22,Adani Transmissi,1892.45,155.73,208941.84,0.0,272.57,31.83,2541.44,17.87,11.96,1224.04,21.65,3.11
23,Nestle India,19344.25,83.31,186737.78,1.03,617.37,5.16,3882.57,9.62,139.29,2082.43,105.76,27.63
24,Adani Enterp.,1678.45,160.08,184519.14,0.06,212.41,-41.38,13218.02,44.83,8.69,1076.62,6.31,2.48
25,O N G C,145.9,5.33,183866.93,3.77,18055.01,273.93,122029.47,45.93,9.95,15736.92,7.39,3.94
26,Adani Total Gas,1628.4,305.23,180282.6,0.02,158.89,11.03,648.19,55.12,31.23,482.33,28.1,16.9
27,Sun Pharma.Inds.,743.7,28.61,178462.75,1.01,2047.01,32.6,9625.93,12.54,13.92,2903.82,6.33,8.26
28,JSW Steel,660.65,8.0,159718.52,0.98,7170.0,350.09,32503.0,68.72,15.53,7911.0,18.97,5.67
29,Tech Mahindra,1576.65,30.09,152947.51,0.95,1338.7,25.75,10881.3,16.11,23.01,4428.0,18.97,11.32
30,Adani Ports,744.7,27.98,151996.73,0.67,951.71,-7.97,3532.42,21.7,14.1,4997.04,17.7,7.41
31,Hindustan Zinc,353.6,17.05,149492.95,6.02,2017.0,3.97,6122.0,8.16,26.4,7718.88,21.26,16.65
32,Power Grid Corpn,205.8,10.36,143661.5,4.74,3376.38,9.02,10266.98,7.74,11.43,12591.95,18.71,4.91
33,HDFC Life Insur.,694.4,124.51,140441.08,0.29,275.91,-15.84,20547.95,24.4,17.69,1186.46,15.37,0.76
34,Tata Steel,1148.8,4.42,140249.96,2.18,11918.11,648.8,60282.78,54.81,12.65,7851.58,10.85,3.48
35,Vedanta,344.15,6.69,127908.27,5.38,4615.0,454.74,30401.0,44.03,19.69,12008.46,20.42,8.54
36,Divi's Lab.,4624.8,57.5,122824.13,0.43,606.46,16.72,1987.51,13.62,32.09,1986.75,23.93,20.59
37,NTPC,125.35,7.93,121498.85,4.91,3599.26,-9.12,32403.58,16.95,8.57,15399.93,12.59,4.06
38,SBI Life Insuran,1159.15,93.91,115980.64,0.22,246.62,-17.72,25635.71,37.53,15.39,1298.43,13.57,0.66
39,L & T Infotech,6556.4,54.43,114933.91,0.61,551.5,21.05,3767.0,25.63,37.0,1936.1,30.47,19.86
40,I O C L,120.6,4.42,113534.75,9.95,6203.74,2.95,133202.17,63.02,14.85,21636.92,20.88,6.35
41,Pidilite Inds.,2213.55,83.53,112386.47,0.38,374.65,5.11,2626.35,39.67,29.42,1131.21,22.51,14.78
42,Grasim Inds,1685.55,18.01,110913.79,0.3,1359.19,36.9,22564.22,25.71,11.15,4363.24,7.14,2.77
43,M & M,825.95,23.93,102869.18,1.06,1928.64,276.02,21469.8,11.67,8.54,1812.49,4.45,1.17
44,FSN E-Commerce,2153.9,1646.87,101859.14,0.0,1.17,-95.74,885.26,46.62,14.0,61.85,15.62,5.11
45,Dabur India,572.4,55.86,101183.19,0.83,504.35,4.71,2817.58,11.98,27.27,1692.89,23.73,16.8
46,Hindalco Inds.,442.5,10.26,99437.17,0.68,3417.0,916.95,47665.0,52.59,7.42,3324.14,5.33,1.86
47,DLF,391.2,58.74,96808.49,0.51,378.95,63.24,1480.9,-8.01,4.29,1093.6,3.13,2.11
48,Bajaj Auto,3286.45,15.66,94967.52,4.26,2039.86,36.27,8762.18,22.45,25.39,4853.46,19.84,16.15
49,SBI Cards,1000.5,91.15,94298.33,0.0,344.9,67.31,2576.24,6.67,10.01,984.64,16.92,3.76
50,Shree Cement,25746.55,35.42,92883.14,0.23,562.83,6.8,3373.38,2.82,19.14,2273.91,15.92,10.99
51,Coal India,150.65,6.73,92779.05,10.62,2936.91,-0.38,23291.08,10.11,46.07,12700.6,36.99,8.17
52,Godrej Consumer,899.3,50.81,91924.43,0.0,478.89,4.75,3163.65,8.53,19.74,1745.3,20.13,11.99
53,Havells India,1410.85,74.13,88371.64,0.46,302.39,-7.34,3238.04,31.65,29.2,1003.69,21.16,12.6
54,ICICI Pru Life,586.7,134.45,84321.71,0.34,445.62,47.33,23161.28,38.76,9.15,727.18,7.63,0.39
55,B P C L,387.8,6.83,84112.66,11.35,3200.9,29.51,76438.87,54.71,17.95,12633.92,27.85,8.68
56,Britannia Inds.,3474.2,52.54,83736.35,4.53,384.22,-22.87,3607.37,5.51,45.27,1863.9,46.89,23.38
57,Siemens,2210.3,72.19,78720.48,0.32,321.6,-2.6,4296.1,21.13,14.8,1090.4,10.99,6.45
58,Apollo Hospitals,5314.65,98.11,76401.37,0.06,247.81,311.17,3717.07,34.64,8.44,150.4,3.79,0.87
59,Dr Reddy's Labs,4520.7,38.31,75146.83,0.55,995.8,29.02,5786.9,17.84,15.39,1954.44,11.66,7.85
60,Ambuja Cements,372.75,22.29,74034.93,4.83,665.81,7.08,6647.13,7.74,18.29,2452.02,10.47,8.06
61,Mindtree,4450.2,52.92,73353.36,0.56,398.9,57.23,2586.2,34.28,36.1,1110.5,29.71,19.28
62,Info Edg.(India),5686.05,8.99,73200.71,0.14,7371.23,23908.88,364.07,39.54,3.67,117.13,3.06,2.53
63,Indus Towers,269.3,13.61,72345.63,7.47,1558.5,112.74,6876.5,289.29,19.36,3613.13,24.56,11.17
64,Tata Power Co.,226.45,46.32,72342.08,0.68,421.51,50.75,9810.22,18.34,7.36,662.16,3.41,0.9
